Name,Age,Education,Skills,Interests,Recommended_Career
FinanceCandidate 163,37,PhD,"excel, pitch books, valuation, financial modeling","corporate finance, mergers and acquisitions",Investment Banker
FinanceCandidate 164,34,Bachelor's,"credit risk, loan analysis, underwriting, financial statements","financial risk, credit scoring",Credit Analyst
FinanceCandidate 165,38,PhD,"compliance, risk assessment, audit, regulations","financial regulation, corporate governance",Compliance Officer
FinanceCandidate 166,37,Master's,"financial modeling, data analysis, forecasting, excel","economic trends, stock market",Financial Analyst
FinanceCandidate 167,39,Bachelor's,"auditing, taxation, accounting, bookkeeping","tax compliance, financial reporting",Accountant
FinanceCandidate 168,36,PhD,"risk assessment, regulations, audit, compliance","financial regulation, corporate governance",Compliance Officer
FinanceCandidate 169,41,PhD,"valuation, excel, m&a, pitch books","mergers and acquisitions, corporate finance",Investment Banker
FinanceCandidate 170,32,PhD,"m&a, financial modeling, excel, pitch books","mergers and acquisitions, corporate finance",Investment Banker
FinanceCandidate 171,23,PhD,"risk analysis, excel, probability, statistics","insurance models, statistical analysis",Actuary
FinanceCandidate 172,37,PhD,"financial modeling, risk management, statistics, data analysis","quantitative analysis, risk evaluation",Risk Analyst
FinanceCandidate 173,44,Bachelor's,"statistics, data analysis, risk management, financial modeling","risk evaluation, quantitative analysis",Risk Analyst
FinanceCandidate 174,25,Bachelor's,"budgeting, financial planning, retirement planning, investment advice","investment management, personal finance",Financial Planner
FinanceCandidate 175,29,Master's,"financial planning, investment advice, retirement planning, budgeting","investment management, personal finance",Financial Planner
FinanceCandidate 176,27,Bachelor's,"compliance, risk assessment, regulations, audit","corporate governance, financial regulation",Compliance Officer
FinanceCandidate 177,35,Bachelor's,"accounting, auditing, bookkeeping, excel","tax compliance, financial reporting",Accountant
FinanceCandidate 178,26,Master's,"financial statements, underwriting, loan analysis, credit risk","financial risk, credit scoring",Credit Analyst
FinanceCandidate 179,28,Master's,"budgeting, retirement planning, financial planning, investment advice","personal finance, investment management",Financial Planner
FinanceCandidate 180,38,Bachelor's,"underwriting, loan analysis, financial statements, credit risk","financial risk, credit scoring",Credit Analyst
FinanceCandidate 181,39,PhD,"data analysis, statistics, financial modeling, risk management","risk evaluation, quantitative analysis",Risk Analyst
FinanceCandidate 182,24,Bachelor's,"risk analysis, probability, excel, statistics","insurance models, statistical analysis",Actuary
FinanceCandidate 183,23,Master's,"compliance, audit, risk assessment, regulations","corporate governance, financial regulation",Compliance Officer
FinanceCandidate 184,24,Bachelor's,"regulations, compliance, risk assessment, audit","financial regulation, corporate governance",Compliance Officer
FinanceCandidate 185,31,PhD,"budgeting, investment advice, retirement planning, financial planning","investment management, personal finance",Financial Planner
FinanceCandidate 186,33,Bachelor's,"financial modeling, excel, m&a, pitch books","mergers and acquisitions, corporate finance",Investment Banker
FinanceCandidate 187,43,PhD,"risk management, financial modeling, statistics, data analysis","risk evaluation, quantitative analysis",Risk Analyst
FinanceCandidate 188,29,Master's,"auditing, excel, bookkeeping, taxation","financial reporting, tax compliance",Accountant
FinanceCandidate 189,29,Master's,"forecasting, financial modeling, excel, data analysis","economic trends, stock market",Financial Analyst
FinanceCandidate 190,36,PhD,"credit risk, underwriting, loan analysis, financial statements","financial risk, credit scoring",Credit Analyst
FinanceCandidate 191,36,Master's,"m&a, excel, pitch books, valuation","mergers and acquisitions, corporate finance",Investment Banker
FinanceCandidate 192,34,Bachelor's,"valuation, excel, financial modeling, m&a","mergers and acquisitions, corporate finance",Investment Banker
FinanceCandidate 193,25,Master's,"compliance, risk assessment, auditing, accounting","internal controls, regulatory compliance",Auditor
FinanceCandidate 194,35,Master's,"valuation, excel, financial modeling, m&a","corporate finance, mergers and acquisitions",Investment Banker
FinanceCandidate 195,34,Bachelor's,"investment strategy, market analysis, asset allocation, risk management","investment strategies, capital markets",Portfolio Manager
FinanceCandidate 196,32,Master's,"compliance, auditing, risk assessment, accounting","internal controls, regulatory compliance",Auditor
FinanceCandidate 197,37,Bachelor's,"financial statements, loan analysis, credit risk, underwriting","credit scoring, financial risk",Credit Analyst
FinanceCandidate 198,28,PhD,"budgeting, retirement planning, financial planning, investment advice","investment management, personal finance",Financial Planner
FinanceCandidate 199,34,Bachelor's,"asset allocation, risk management, market analysis, investment strategy","investment strategies, capital markets",Portfolio Manager
FinanceCandidate 200,26,PhD,"m&a, valuation, financial modeling, pitch books","mergers and acquisitions, corporate finance",Investment Banker
James Lee 1,44,UACE certificate,"critical thinking scheduling, medical terminology, attention to detail, phlebotomy","helping other, science",Clinical Research Scientist
Anna Jones 2,43,UACE certificate,"organization, research, scheduling, data entry","science, hospital work, helping others",Occupational Therapist
James Lee 3,41,Bachelor's Degree,"empathy, medical terminology, research","administration, hospital work",Medical Laboratory Technician
Emily Stone 4,37,UACE certificate,"communication, attention to detail, data entry, organization","helping others, medicine",Registered Nurse
Emily Stone 5,46,UACE certificate,"communication, lab analysis, data interpretation, phlebotomy, attention to detail","helping others, surgery",Medical Administrative Assistant
Anna Jones 6,37,Bachelor's Degree,"data entry, surgery, clerical work, organization","public health, mental health",Pharmacist
Maya Patel 7,55,UACE certificate,"phlebotomy, medical terminology, data interpretation, scheduling, teamwork","patient outcomes, helping others, biology",Surgeon
Brian Smith 8,40,Master's Degree,"specimen handling, phlebotomy, surgery, medical terminology","administration, public health, science",Registered Nurse
David Kim 9,59,Master's Degree,"diagnosis, medical terminology, clerical work, specimen handling","helping others, science, administration",Radiologic Technologist
James Lee 10,38,UCE Certificate,"phlebotomy, patient care, attention to detail","hospital work, surgery, medicine",Clinical Research Scientist
James Lee 11,60,UCE Certificate,"data entry, diagnosis, patient care","surgery, administration, science",Physical Therapist
Brian Smith 12,37,UACE certificate,"attention to detail, teamwork, data entry, empathy, patient care","surgery, medicine",Medical Laboratory Technician
David Kim 13,39,Master's Degree,"attention to detail, empathy, data entry, organization","administration, helping others",Registered Nurse
Emily Stone 14,39,Bachelor's Degree,"specimen handling, clerical work, surgery, attention to detail","medicine, public health, helping others",Surgeon
Emily Stone 15,51,Bachelor's Degree,"organization, patient care, lab analysis, surgery, research","mental health, surgery, biology",Occupational Therapist
Carlos Martinez 16,23,UCE Certificate,"surgery, specimen handling, clerical work, critical thinking","medicine, helping others",Medical Administrative Assistant
Maya Patel 17,41,PhD,"empathy, medical terminology, diagnosis","science, patient outcomes",Medical Billing Specialist
Anna Jones 18,22,UACE certificate,"teamwork, clerical work, lab analysis","surgery, medicine",Registered Nurse
Linda Wang 19,32,PhD,"organization, scheduling, lab analysis, specimen handling","patient outcomes, science",Physical Therapist
Carlos Martinez 20,49,Master's Degree,"teamwork, communication, research","public health, patient outcomes",Surgeon
Brian Smith 21,49,Bachelor's Degree,"data entry, scheduling, attention to detail","biology, patient outcomes",Occupational Therapist
David Kim 22,47,PhD,"lab analysis, research, critical thinking, clerical work, diagnosis","public health, biology, hospital work",Surgeon
Linda Wang 23,36,UACE certificate,"data entry, organization, teamwork, scheduling, empathy","hospital work, public health",Pharmacist
Anna Jones 24,29,Bachelor's Degree,"empathy, data interpretation, data entry","hospital work, helping others",Physical Therapist
Zara Ahmed 25,53,Master's Degree,"research, clerical work, empathy","administration, helping others",Clinical Research Scientist
Anna Jones 26,40,Master's Degree,"medical terminology, specimen handling, diagnosis, empathy, teamwork","patient outcomes, hospital work, medicine",Pharmacist
Emily Stone 27,42,UACE certificate,"communication, scheduling, research","mental health, helping others",Pharmacist
Sarah Nolan 28,56,UACE certificate,"teamwork, phlebotomy, scheduling, medical terminology, communication","administration, mental health, patient outcomes",Clinical Research Scientist
Carlos Martinez 29,45,Bachelor's Degree,"lab analysis, empathy, data entry, patient care","helping others, medicine, science",Pharmacist
Emily Stone 30,29,Bachelor's Degree,"teamwork, organization, diagnosis, specimen handling, medical terminology","mental health, helping others",Clinical Research Scientist
James Lee 31,36,UACE certificate,"communication, data entry, surgery, scheduling, organization","patient outcomes, mental health, hospital work",Clinical Research Scientist
James Lee 32,34,Master's Degree,"surgery, data entry, communication","medicine, hospital work",Physical Therapist
Sarah Nolan 33,48,PhD,"phlebotomy, diagnosis, patient care, specimen handling","biology, public health",Medical Administrative Assistant
Maya Patel 34,48,PhD,"teamwork, empathy, phlebotomy","mental health, hospital work",Physical Therapist
Linda Wang 35,47,UACE certificate,"attention to detail, data entry, organization, medical terminology, critical thinking","hospital work, surgery",Medical Laboratory Technician
Linda Wang 36,29,Bachelor's Degree,"phlebotomy, research, critical thinking, data entry, empathy","hospital work, mental health, public health",Medical Billing Specialist
Brian Smith 37,48,UACE certificate,"diagnosis, research, communication","helping others, administration, biology",Pharmacist
David Kim 38,43,Bachelor's Degree,"diagnosis, data interpretation, empathy, specimen handling, surgery","surgery, helping others, administration",Physical Therapist
David Kim 39,47,PhD,"medical terminology, teamwork, empathy","biology, medicine, helping others",Occupational Therapist
Maya Patel 40,56,Bachelor's Degree,"clerical work, patient care, diagnosis, attention to detail","hospital work, administration",Clinical Research Scientist
Zara Ahmed 41,29,PhD,"research, empathy, critical thinking, lab analysis","biology, helping others, medicine",Medical Laboratory Technician
Emily Stone 42,53,UACE certificate,"research, lab analysis, attention to detail, scheduling","patient outcomes, mental health",Pharmacist
Anna Jones 43,48,UCE Certificate,"research, scheduling, attention to detail, phlebotomy","biology, surgery, helping others",Medical Administrative Assistant
Maya Patel 44,43,UACE certificate,"communication, research, phlebotomy, surgery, organization","helping others, medicine",Medical Administrative Assistant
Carlos Martinez 45,24,UCE Certificate,"data entry, research, teamwork, medical terminology","hospital work, helping others, patient outcomes",Medical Administrative Assistant
James Lee 46,27,Master's Degree,"phlebotomy, data interpretation, empathy","mental health, hospital work",Registered Nurse
David Kim 47,38,Bachelor's Degree,"medical terminology, data interpretation, empathy, organization, phlebotomy","hospital work, public health",Clinical Research Scientist
Zara Ahmed 48,47,Master's Degree,"diagnosis, surgery, attention to detail, teamwork","patient outcomes, public health",Medical Administrative Assistant
Linda Wang 49,23,UCE Certificate,"diagnosis, scheduling, data interpretation, attention to detail","administration, science",Surgeon
Zara Ahmed 50,60,Master's Degree,"data entry, diagnosis, clerical work, specimen handling","science, medicine, biology",Medical Billing Specialist
Linda Wang 51,60,Master's Degree,"communication, data entry, diagnosis, clerical work","patient outcomes, administration, hospital work",Radiologic Technologist
Brian Smith 52,58,UACE certificate,"phlebotomy, lab analysis, communication","surgery, public health, mental health",Medical Laboratory Technician
Emily Stone 53,48,Master's Degree,"teamwork, research, clerical work, surgery","medicine, mental health, hospital work",Occupational Therapist
Carlos Martinez 54,56,Master's Degree,"clerical work, patient care, specimen handling, data entry","medicine, administration",Surgeon
Emily Stone 55,27,Master's Degree,"critical thinking, surgery, phlebotomy, patient care, data entry","public health, helping others",Medical Billing Specialist
Brian Smith 56,43,Bachelor's Degree,"data interpretation, communication, organization, critical thinking","medicine, helping others, mental health",Medical Laboratory Technician
Carlos Martinez 57,40,UCE Certificate,"lab analysis, surgery, medical terminology","hospital work, administration, mental health",Medical Laboratory Technician
Maya Patel 58,47,UCE Certificate,"phlebotomy, data interpretation, attention to detail, patient care, critical thinking","medicine, biology",Medical Billing Specialist
James Lee 59,38,PhD,"scheduling, phlebotomy, research, clerical work","medicine, biology, surgery",Surgeon
Anna Jones 60,47,UACE certificate,"data interpretation, surgery, attention to detail, organization","public health, patient outcomes, medicine",Occupational Therapist
Carlos Martinez 61,44,PhD,"scheduling, organization, data interpretation, communication","biology, science, hospital work",Physical Therapist
Zara Ahmed 62,26,Bachelor's Degree,"scheduling, empathy, communication, attention to detail, clerical work","hospital work, public health",Surgeon
Maya Patel 63,34,PhD,"phlebotomy, communication, diagnosis, medical terminology, data interpretation","hospital work, administration",Radiologic Technologist
Maya Patel 64,27,Master's Degree,"lab analysis, research, diagnosis, communication, organization","biology, mental health",Radiologic Technologist
Anna Jones 65,42,Bachelor's Degree,"organization, critical thinking, research, lab analysis","surgery, patient outcomes, biology",Medical Billing Specialist
Zara Ahmed 66,58,Bachelor's Degree,"teamwork, data interpretation, data entry","hospital work, administration",Clinical Research Scientist
Anna Jones 67,53,PhD,"research, organization, phlebotomy, critical thinking","medicine, surgery",Clinical Research Scientist
Emily Stone 68,35,Bachelor's Degree,"teamwork, scheduling, data interpretation, surgery","medicine, science",Occupational Therapist
Emily Stone 69,52,UACE certificate,"lab analysis, medical terminology, diagnosis, specimen handling","mental health, helping others, medicine",Physical Therapist
Sarah Nolan 70,48,Master's Degree,"attention to detail, specimen handling, phlebotomy","mental health, hospital work, medicine",Medical Billing Specialist
Brian Smith 71,22,Bachelor's Degree,"phlebotomy, patient care, scheduling, attention to detail","surgery, mental health",Surgeon
Maya Patel 72,22,PhD,"teamwork, attention to detail, lab analysis, communication, patient care","hospital work, mental health",Clinical Research Scientist
Brian Smith 73,57,UCE Certificate,"scheduling, surgery, research, data interpretation, communication","surgery, medicine, helping others",Physical Therapist
Anna Jones 74,50,PhD,"critical thinking, organization, research, communication, medical terminology","public health, biology",Registered Nurse
James Lee 75,26,UCE Certificate,"communication, diagnosis, organization, patient care, lab analysis","administration, mental health, surgery",Pharmacist
David Kim 76,48,PhD,"patient care, critical thinking, specimen handling","public health, helping others, hospital work",Radiologic Technologist
Linda Wang 77,23,PhD,"empathy, scheduling, surgery, data interpretation","surgery, medicine, administration",Registered Nurse
Linda Wang 78,57,PhD,"empathy, teamwork, attention to detail, research","biology, medicine, science",Medical Administrative Assistant
James Lee 79,26,Master's,"data entry, research, data interpretation","mental health, patient outcomes",Physical Therapist
Linda Wang 80,49,Master's,"phlebotomy, diagnosis, lab analysis, specimen handling","patient outcomes, biology",Pharmacist
Brian Smith 81,33,Bachelor's,"specimen handling, teamwork, clerical work, attention to detail","helping others, biology, science",Surgeon
David Kim 82,49,Master's,"lab analysis, data interpretation, attention to detail, phlebotomy","science, public health",Medical Laboratory Technician
Emily Stone 83,49,Bachelor's,"clerical work, surgery, communication","helping others, mental health, hospital work",Pharmacist
Carlos Martinez 84,59,Master's,"specimen handling, critical thinking, scheduling, empathy, clerical work","hospital work, administration, mental health",Medical Administrative Assistant
David Kim 85,38,Master's,"critical thinking, organization, surgery, data interpretation","administration, public health, mental health",Radiologic Technologist
Carlos Martinez 86,53,PhD,"specimen handling, attention to detail, patient care, diagnosis","administration, public health, hospital work",Occupational Therapist
Zara Ahmed 87,27,UACE certificate,"surgery, medical terminology, phlebotomy","biology, mental health",Pharmacist
James Lee 88,41,PhD,"diagnosis, phlebotomy, patient care, data interpretation, specimen handling","helping others, science",Surgeon
Zara Ahmed 89,53,PhD,"data entry, phlebotomy, teamwork, surgery, organization","helping others, surgery, patient outcomes",Physical Therapist
Linda Wang 90,37,UACE certificate,"attention to detail, phlebotomy, research, empathy","administration, hospital work, patient outcomes",Radiologic Technologist
Anna Jones 91,41,Bachelor's,"research, organization, scheduling, critical thinking","patient outcomes, administration, public health",Registered Nurse
Zara Ahmed 92,41,Bachelor's,"communication, patient care, diagnosis, attention to detail","administration, science, medicine",Registered Nurse
Brian Smith 93,51,Bachelor's,"medical terminology, surgery, scheduling, teamwork","surgery, helping others",Registered Nurse
Maya Patel 94,47,PhD,"critical thinking, data entry, diagnosis, specimen handling, medical terminology","public health, science",Clinical Research Scientist
Anna Jones 95,42,UCE Certificate,"communication, lab analysis, critical thinking, specimen handling","patient outcomes, administration",Occupational Therapist
Linda Wang 96,39,PhD,"empathy, lab analysis, medical terminology, specimen handling","biology, public health, hospital work",Physical Therapist
James Lee 97,49,Bachelor's,"medical terminology, research, teamwork, empathy","public health, helping others",Medical Administrative Assistant
Maya Patel 98,23,UACE certificate,"critical thinking, empathy, medical terminology, organization, specimen handling","patient outcomes, biology",Occupational Therapist
Anna Jones 99,56,Master's,"critical thinking, phlebotomy, organization","helping others, science, biology",Clinical Research Scientist
Maya Patel 100,53,UCE Certificate,"organization, communication, patient care, teamwork","administration, public health, biology",Radiologic Technologist
Carlos Martinez 101,36,UCE Certificate,"teamwork, organization, patient care","medicine, patient outcomes, administration",Radiologic Technologist
David Kim 102,32,Master's,"medical terminology, clerical work, organization","administration, medicine, patient outcomes",Registered Nurse
Emily Stone 103,22,PhD,"lab analysis, specimen handling, data interpretation","mental health, surgery",Clinical Research Scientist
Carlos Martinez 104,36,Master's,"data entry, clerical work, teamwork","medicine, helping others",Registered Nurse
Anna Jones 105,37,PhD,"medical terminology, research, teamwork, surgery, phlebotomy","administration, biology",Clinical Research Scientist
Emily Stone 106,41,PhD,"communication, diagnosis, data entry","public health, medicine, helping others",Medical Laboratory Technician
Anna Jones 107,32,UACE certificate,"empathy, teamwork, lab analysis, data entry","biology, mental health",Medical Laboratory Technician
James Lee 108,42,UCE Certificate,"data interpretation, lab analysis, organization, patient care","hospital work, public health, medicine",Surgeon
Linda Wang 109,32,Master's,"teamwork, clerical work, scheduling, specimen handling, attention to detail","helping others, mental health, medicine",Pharmacist
Emily Stone 110,35,UCE Certificate,"teamwork, organization, empathy, research, scheduling","surgery, hospital work, administration",Surgeon
Linda Wang 111,57,UACE certificate,"attention to detail, clerical work, surgery, specimen handling, data interpretation","patient outcomes, hospital work",Physical Therapist
Carlos Martinez 112,29,UCE Certificate,"organization, teamwork, patient care","medicine, public health",Medical Laboratory Technician
Sarah Nolan 113,29,PhD,"research, critical thinking, data entry, patient care","mental health, medicine, hospital work",Pharmacist
Carlos Martinez 114,58,Master's,"organization, lab analysis, empathy","helping others, hospital work",Pharmacist
Anna Jones 115,22,UACE certificate,"surgery, empathy, communication, attention to detail","mental health, hospital work",Medical Laboratory Technician
Maya Patel 116,52,UCE Certificate,"scheduling, communication, specimen handling, lab analysis, clerical work","science, public health, biology",Surgeon
Zara Ahmed 117,30,UACE certificate,"data interpretation, attention to detail, specimen handling","hospital work, mental health, helping others",Occupational Therapist
Zara Ahmed 118,51,UCE Certificate,"specimen handling, communication, research, teamwork, data interpretation","patient outcomes, mental health, biology",Medical Billing Specialist
Emily Stone 119,32,UCE Certificate,"patient care, clerical work, specimen handling","mental health, hospital work",Registered Nurse
Anna Jones 120,44,PhD,"data entry, research, patient care","hospital work, mental health, biology",Surgeon
Anna Jones 121,28,Master's,"data entry, data interpretation, phlebotomy","administration, helping others, surgery",Physical Therapist
Maya Patel 122,45,Bachelor's,"specimen handling, empathy, teamwork, phlebotomy, communication","hospital work, science, patient outcomes",Radiologic Technologist
Carlos Martinez 123,37,Bachelor's,"organization, medical terminology, scheduling","helping others, medicine",Pharmacist
Linda Wang 124,58,PhD,"data entry, empathy, critical thinking, surgery, patient care","medicine, public health, administration",Occupational Therapist
Zara Ahmed 125,35,UCE Certificate,"scheduling, communication, lab analysis, data interpretation","biology, science",Clinical Research Scientist
Anna Jones 126,60,Master's,"data entry, surgery, clerical work, research, specimen handling","administration, biology",Occupational Therapist
Carlos Martinez 127,23,Bachelor's,"specimen handling, attention to detail, research, empathy","administration, medicine, mental health",Radiologic Technologist
James Lee 128,38,Bachelor's,"critical thinking, communication, diagnosis","science, mental health, surgery",Occupational Therapist
Zara Ahmed 129,37,Bachelor's,"specimen handling, surgery, lab analysis, research","patient outcomes, science",Medical Administrative Assistant
Linda Wang 130,26,Bachelor's,"patient care, medical terminology, diagnosis","medicine, science",Medical Administrative Assistant
Linda Wang 131,33,Bachelor's,"phlebotomy, attention to detail, empathy","biology, science, mental health",Physical Therapist
Zara Ahmed 132,51,UCE Certificate,"medical terminology, data entry, organization, communication, phlebotomy","administration, patient outcomes, hospital work",Clinical Research Scientist
Anna Jones 133,29,UACE certificate,"empathy, critical thinking, lab analysis, medical terminology","helping others, public health",Radiologic Technologist
Brian Smith 134,35,Master's,"surgery, diagnosis, medical terminology","patient outcomes, surgery, medicine",Physical Therapist
Maya Patel 135,50,UACE certificate,"research, scheduling, lab analysis, communication, diagnosis","surgery, administration, patient outcomes",Surgeon
Anna Jones 136,47,Master's,"teamwork, research, attention to detail","public health, biology, science",Radiologic Technologist
Carlos Martinez 137,49,PhD,"scheduling, specimen handling, research, data interpretation, empathy","medicine, patient outcomes",Pharmacist
James Lee 138,22,UACE certificate,"data entry, diagnosis, teamwork","public health, medicine",Physical Therapist
Emily Stone 139,22,Bachelor's,"scheduling, critical thinking, medical terminology","hospital work, helping others, biology",Medical Administrative Assistant
Maya Patel 140,41,UACE certificate,"lab analysis, specimen handling, diagnosis, clerical work","medicine, science, administration",Medical Administrative Assistant
Anna Jones 141,27,Master's,"lab analysis, diagnosis, surgery","helping others, surgery",Occupational Therapist
David Kim 142,25,UACE certificate,"diagnosis, attention to detail, medical terminology, lab analysis, teamwork","surgery, helping others, patient outcomes",Radiologic Technologist
Sarah Nolan 143,35,PhD,"attention to detail, communication, data entry","patient outcomes, biology, public health",Surgeon
Emily Stone 144,51,UACE certificate,"communication, attention to detail, critical thinking","biology, administration, surgery",Physical Therapist
David Kim 145,35,Bachelor's,"specimen handling, data entry, communication, data interpretation","medicine, patient outcomes",Medical Billing Specialist
Brian Smith 146,35,PhD,"data interpretation, attention to detail, surgery, patient care, specimen handling","patient outcomes, administration",Surgeon
Sarah Nolan 147,59,PhD,"patient care, scheduling, empathy","helping others, surgery",Pharmacist
Emily Stone 148,22,UCE Certificate,"teamwork, lab analysis, specimen handling","helping others, medicine",Occupational Therapist
Maya Patel 149,55,PhD,"clerical work, diagnosis, scheduling","science, biology, helping others",Clinical Research Scientist
Emily Stone 150,53,UCE Certificate,"phlebotomy, attention to detail, clerical work, data entry","patient outcomes, surgery, helping others",Occupational Therapist
James Lee 151,23,Bachelor's,"surgery, phlebotomy, medical terminology, empathy, critical thinking","science, administration, patient outcomes",Pharmacist
Sarah Nolan 152,51,Master's,"diagnosis, surgery, medical terminology","administration, science, public health",Radiologic Technologist
Linda Wang 153,58,UACE certificate,"data entry, patient care, clerical work","hospital work, surgery, administration",Medical Laboratory Technician
Sarah Nolan 154,37,PhD,"data interpretation, lab analysis, teamwork, clerical work, scheduling","mental health, science",Occupational Therapist
Emily Stone 155,56,UACE certificate,"communication, data entry, patient care","science, mental health, helping others",Occupational Therapist
Zara Ahmed 156,33,Master's,"diagnosis, scheduling, empathy, data interpretation, phlebotomy","mental health, biology",Medical Billing Specialist
David Kim 157,58,UCE Certificate,"lab analysis, clerical work, organization, data entry","patient outcomes, medicine, surgery",Surgeon
Carlos Martinez 158,32,PhD,"teamwork, attention to detail, clerical work, research, surgery","science, patient outcomes",Clinical Research Scientist
Linda Wang 159,45,Master's,"lab analysis, medical terminology, clerical work, empathy, patient care","medicine, biology, surgery",Physical Therapist
Emily Stone 160,47,PhD,"phlebotomy, scheduling, attention to detail","helping others, science",Radiologic Technologist
David Kim 161,41,Master's,"surgery, data interpretation, attention to detail, phlebotomy, empathy","helping others, surgery",Registered Nurse
Sarah Nolan 162,51,UCE Certificate,"diagnosis, lab analysis, critical thinking, scheduling, communication","patient outcomes, surgery, medicine",Medical Billing Specialist
Brian Smith 163,54,UCE Certificate,"empathy, attention to detail, scheduling","biology, surgery",Pharmacist
David Kim 164,32,UCE Certificate,"specimen handling, data interpretation, lab analysis","medicine, science, hospital work",Medical Laboratory Technician
Anna Jones 165,45,Bachelor's,"clerical work, phlebotomy, diagnosis, critical thinking, data entry","surgery, patient outcomes",Physical Therapist
Carlos Martinez 166,43,Master's,"attention to detail, communication, patient care","patient outcomes, public health, medicine",Pharmacist
Anna Jones 167,50,Master's,"diagnosis, lab analysis, scheduling, patient care, research","medicine, helping others, patient outcomes",Medical Billing Specialist
Emily Stone 168,22,PhD,"lab analysis, clerical work, phlebotomy, empathy, organization","patient outcomes, helping others, public health",Medical Billing Specialist
Anna Jones 169,48,Master's,"empathy, research, surgery","medicine, hospital work",Registered Nurse
David Kim 170,24,UCE Certificate,"empathy, communication, scheduling","hospital work, public health",Pharmacist
Carlos Martinez 171,53,Bachelor's,"scheduling, data interpretation, medical terminology, teamwork","science, public health, medicine",Pharmacist
Anna Jones 172,38,PhD,"data interpretation, surgery, attention to detail, communication","medicine, mental health",Registered Nurse
Linda Wang 173,22,PhD,"phlebotomy, diagnosis, critical thinking, data entry, attention to detail","medicine, science, public health",Surgeon
Anna Jones 174,24,UACE certificate,"critical thinking, data interpretation, scheduling","medicine, science",Radiologic Technologist
Brian Smith 175,60,Bachelor's,"empathy, scheduling, patient care, communication, data interpretation","patient outcomes, mental health",Medical Administrative Assistant
James Lee 176,32,UCE Certificate,"research, empathy, specimen handling, data interpretation","surgery, mental health, science",Medical Billing Specialist
David Kim 177,36,UCE Certificate,"teamwork, organization, attention to detail, critical thinking, data interpretation","patient outcomes, public health, surgery",Surgeon
Emily Stone 178,34,UACE certificate,"scheduling, empathy, research, clerical work","surgery, patient outcomes, science",Occupational Therapist
Linda Wang 179,42,UCE Certificate,"medical terminology, lab analysis, surgery, phlebotomy, research","medicine, science, patient outcomes",Medical Administrative Assistant
Anna Jones 180,58,UCE Certificate,"data interpretation, specimen handling, lab analysis, clerical work, diagnosis","surgery, mental health",Occupational Therapist
Maya Patel 181,26,Master's,"data entry, attention to detail, research, communication, empathy","biology, mental health",Physical Therapist
Linda Wang 182,34,Doctorate (PhD/MD),"attention to detail, teamwork, communication, medical terminology","helping others, science",Medical Billing Specialist
Carlos Martinez 183,53,High School Diploma,"specimen handling, lab analysis, scheduling","public health, science, helping others",Medical Billing Specialist
Anna Jones 184,55,Associate Degree,"specimen handling, lab analysis, clerical work","helping others, administration",Surgeon
Maya Patel 185,38,Master's Degree,"specimen handling, data entry, lab analysis, empathy, teamwork","helping others, biology, mental health",Medical Billing Specialist
Maya Patel 186,55,Master's Degree,"research, surgery, scheduling, medical terminology","administration, mental health",Surgeon
Zara Ahmed 187,29,High School Diploma,"scheduling, data interpretation, research, communication, teamwork","patient outcomes, public health, science",Radiologic Technologist
Sarah Nolan 188,47,Associate Degree,"clerical work, empathy, organization, scheduling, teamwork","public health, patient outcomes, surgery",Occupational Therapist
David Kim 189,60,Bachelor's Degree,"patient care, data entry, clerical work","medicine, hospital work",Radiologic Technologist
Brian Smith 190,33,Master's Degree,"research, medical terminology, organization","hospital work, patient outcomes",Surgeon
Linda Wang 191,50,Master's Degree,"patient care, data interpretation, scheduling, surgery, organization","helping others, public health",Occupational Therapist
David Kim 192,57,Bachelor's Degree,"clerical work, scheduling, surgery, critical thinking, lab analysis","helping others, biology",Occupational Therapist
Anna Jones 193,53,High School Diploma,"critical thinking, medical terminology, patient care, clerical work, diagnosis","mental health, science, medicine",Clinical Research Scientist
Linda Wang 194,41,Bachelor's Degree,"teamwork, research, communication","mental health, biology",Occupational Therapist
Emily Stone 195,39,Master's Degree,"data entry, attention to detail, critical thinking, diagnosis, empathy","medicine, patient outcomes, biology",Radiologic Technologist
Emily Stone 196,37,Associate Degree,"attention to detail, scheduling, critical thinking","administration, patient outcomes",Medical Billing Specialist
Sarah Nolan 197,55,High School Diploma,"scheduling, surgery, organization","mental health, helping others, administration",Clinical Research Scientist
Carlos Martinez 198,23,Doctorate (PhD/MD),"medical terminology, phlebotomy, communication, research, surgery","administration, medicine",Surgeon
David Kim 199,40,High School Diploma,"scheduling, patient care, specimen handling, medical terminology","science, biology",Surgeon
Zara Ahmed 200,30,Doctorate (PhD/MD),"data interpretation, specimen handling, critical thinking, scheduling, research","medicine, mental health, administration",Pharmacist
Susan Aine 1,43,UACE Certificate,"student engagement, communication, research","teaching, mentoring students",Instructional Coordinator
Paul Mugisha 2,32,Master's,"assessment design, curriculum development, subject knowledge, student engagement, classroom management","learning technologies, student success, mentoring students",Education Consultant
John Okello 3,59,Bachelor's,"communication, student engagement, lesson planning, curriculum development","learning technologies, educational development, mentoring students",School Administrator
Susan Aine 4,29,PhD,"lesson planning, academic writing, assessment design, classroom management","educational development, mentoring students, research",Education Policy Analyst
Paul Mugisha 5,57,PhD,"classroom management, communication, student engagement","research, learning technologies, student success",Special Education Teacher
